ClusterID X Y Z
0 0.238 -0.700 0.251
1 0.490 7.726 1.209
2 15.211 -4.282 1.461
3 0.347 2.560 -0.082
4 0.878 6.145 0.574
5 1.163 7.576 0.493
6 2.150 8.879 0.445
7 14.499 -4.442 0.931
8 12.844 -7.425 0.921
9 2.527 -0.198 -0.208
10 14.472 -1.571 0.584
11 12.734 -3.859 0.262
12 11.205 -5.678 0.163
13 12.634 -1.359 -0.108
14 11.105 -3.391 -0.281
15 10.163 -3.055 -0.726
16 10.648 -5.512 -0.434
17 4.656 -15.824 -0.611
18 11.000 -1.237 -0.633
19 9.625 -7.743 -0.635
20 6.121 -11.082 -0.729
21 13.330 8.594 -1.372
22 9.424 -4.976 -0.909
23 6.190 -8.738 -0.916
24 4.180 -9.197 -0.860
25 2.868 -9.445 -0.839
26 8.286 13.228 -1.673
27 9.700 10.827 -1.556
28 9.789 9.418 -1.451
29 5.837 -6.890 -0.961
30 9.181 7.658 -1.627
31 7.623 -2.330 -1.140
32 7.255 -3.835 -1.101
33 3.752 -6.370 -0.997
34 6.798 7.429 -1.571
35 7.626 7.263 -1.644
36 4.487 -5.107 -1.058
37 0.142 -6.268 -0.963
38 2.302 8.051 -1.546
39 1.347 5.940 -1.430
40 5.696 5.717 -1.493
41 6.401 5.029 -1.507
42 7.296 4.648 -1.603
43 6.696 -2.058 -1.290
44 6.075 -3.200 -1.264
45 2.383 -3.078 -1.106
46 1.502 7.233 -1.518
47 4.414 5.511 -1.455
48 5.329 -1.643 -1.224
49 0.293 -4.924 -1.000
50 4.199 3.955 -1.407
51 4.400 -2.340 -1.164
52 0.281 -4.139 -1.051
53 2.133 3.274 -1.363
54 0.085 -1.790 -0.833
55 7.298 10.329 -0.994
56 7.075 8.937 -0.959
