ClusterID X Y Z
0 0.213 -0.719 0.317
1 7.804 -1.371 1.302
2 15.665 0.942 0.982
3 15.633 -1.136 0.971
4 14.310 -2.035 0.899
5 15.038 -3.111 0.952
6 14.157 0.860 0.354
7 3.524 0.158 -0.946
8 11.253 -9.132 0.259
9 12.379 0.891 -0.340
10 12.976 0.027 0.056
11 12.684 -1.095 0.165
12 13.142 -2.048 0.176
13 11.095 -6.569 -0.110
14 11.449 -1.758 -0.418
15 11.672 0.800 -0.672
16 10.012 -4.956 -0.640
17 9.401 -6.527 -0.582
18 3.427 -11.947 -0.716
19 10.922 1.623 -1.069
20 10.534 0.280 -1.057
21 10.304 -1.379 -0.886
22 6.532 -8.238 -0.902
23 4.219 -9.212 -0.862
24 6.461 -6.427 -0.970
25 8.755 0.377 -1.179
26 4.849 -6.030 -1.048
27 0.099 -6.903 -0.916
28 8.218 1.308 -1.299
29 5.381 -4.603 -1.108
30 1.502 -6.179 -0.972
31 0.150 -6.182 -0.949
32 7.159 0.781 -1.427
33 2.273 -3.188 -1.101
34 0.225 -1.785 -0.743
