ClusterID X Y Z
0 0.223 -0.707 0.290
1 7.847 -1.504 1.313
2 0.350 2.578 -0.074
3 0.880 6.120 0.572
4 2.162 8.900 0.446
5 15.661 -1.094 0.972
6 14.369 -1.778 0.731
7 14.764 -3.806 0.947
8 14.204 0.803 0.509
9 3.373 1.604 -1.187
10 12.526 1.590 -0.039
11 12.980 0.101 0.014
12 12.594 -1.275 -0.039
13 13.192 -1.906 0.171
14 12.691 -3.641 0.175
15 10.849 -7.098 -0.111
16 12.199 0.079 -0.442
17 11.592 -1.645 -0.423
18 11.156 -3.238 -0.419
19 4.696 -15.734 -0.608
20 11.691 0.986 -0.674
21 10.953 -1.269 -0.631
22 9.429 -6.374 -0.652
23 6.098 -11.127 -0.732
24 13.256 8.948 -1.383
25 13.004 3.906 -1.168
26 10.567 0.323 -0.986
27 10.339 -1.387 -0.889
28 9.980 -2.921 -0.867
29 6.284 -8.597 -0.911
30 4.237 -9.228 -0.864
31 2.878 -9.420 -0.837
32 9.736 10.921 -1.566
33 9.811 9.373 -1.450
34 6.099 -6.614 -0.961
35 1.335 5.916 -1.432
36 8.964 5.239 -1.497
37 8.700 0.051 -1.169
38 7.897 -2.405 -1.107
39 4.117 -6.288 -1.019
40 0.100 -6.869 -0.915
41 7.264 7.251 -1.603
42 8.162 0.929 -1.278
43 4.834 -4.951 -1.081
44 1.332 -6.192 -0.973
45 2.396 8.112 -1.558
46 6.131 5.320 -1.505
47 7.348 1.900 -1.475
48 6.655 -2.044 -1.282
49 2.130 -3.311 -1.093
50 0.255 7.389 -1.519
51 5.388 4.089 -1.416
52 5.076 -1.557 -1.243
53 1.103 4.384 -1.404
54 3.972 -1.273 -1.190
55 0.213 -1.776 -0.727
56 0.270 0.167 -0.243
57 11.011 1.715 -1.056
