ClusterID X Y Z
0 0.242 -0.706 0.234
1 0.491 7.769 1.108
2 7.781 -1.483 1.298
3 0.381 2.530 -0.085
4 0.846 6.130 0.572
5 15.032 -3.608 1.175
6 1.103 7.598 0.493
7 2.155 8.879 0.439
8 15.593 -1.320 0.970
9 14.389 -1.909 0.704
10 14.256 -6.115 0.962
11 12.640 -8.056 0.931
12 14.400 0.968 0.580
13 2.808 -0.960 -1.098
14 14.039 -3.313 0.579
15 12.892 -3.199 0.230
16 13.325 -4.964 0.572
17 12.575 -1.498 -0.068
18 11.288 -5.436 0.132
19 12.573 1.532 -0.072
20 12.984 0.153 -0.111
21 10.296 -3.990 -0.600
22 10.226 -8.198 -0.112
23 11.578 -1.548 -0.422
24 4.781 -15.828 -0.612
25 11.688 0.746 -0.673
26 10.961 -1.372 -0.632
27 9.660 -8.120 -0.727
28 6.085 -11.183 -0.735
29 13.292 8.664 -1.372
30 12.840 5.325 -1.199
31 13.063 3.179 -1.157
32 10.328 -1.378 -0.888
33 6.183 -8.725 -0.914
34 4.277 -9.192 -0.863
35 2.875 -9.504 -0.844
36 9.710 10.849 -1.558
37 9.843 9.288 -1.445
38 10.499 0.606 -1.116
39 5.847 -6.899 -0.963
40 8.984 4.771 -1.468
41 7.310 -3.225 -1.126
42 4.095 -6.303 -1.010
43 2.030 -6.756 -0.940
44 7.311 7.260 -1.610
45 8.101 0.479 -1.260
46 4.616 -5.057 -1.064
47 2.442 8.067 -1.555
48 1.537 5.893 -1.432
49 6.342 5.011 -1.496
50 7.587 2.979 -1.520
51 6.079 -2.883 -1.245
52 1.491 7.216 -1.514
53 5.070 3.112 -1.384
54 6.904 0.422 -1.420
55 4.184 -3.412 -1.098
56 0.364 -4.875 -0.991
57 4.923 0.094 -1.254
58 0.322 -4.131 -1.049
59 1.139 4.295 -1.402
60 0.138 -1.790 -0.835
61 0.287 0.177 -0.262
62 11.196 -9.367 0.583
63 11.624 -7.226 0.174
